concurrency_level,trial_id,thread_id,status_code,result_type,latency_ms
5,28,0,409,CONFLICT_409,0.0346
5,28,2,409,CONFLICT_409,0.0184
5,28,1,409,CONFLICT_409,0.0165
5,28,3,409,CONFLICT_409,0.0506
5,29,4,200,SUCCESS_ACCEPTED,0.297
5,29,0,409,CONFLICT_409,0.0456
5,29,1,409,CONFLICT_409,0.0315
5,29,2,409,CONFLICT_409,0.024
5,29,3,409,CONFLICT_409,0.0259
5,30,4,200,SUCCESS_ACCEPTED,0.2666
5,30,1,409,CONFLICT_409,0.0201
5,30,0,409,CONFLICT_409,0.0134
5,30,3,409,CONFLICT_409,0.0148
5,30,2,409,CONFLICT_409,0.0114
5,31,4,200,SUCCESS_ACCEPTED,0.1329
5,31,2,409,CONFLICT_409,0.0314
5,31,1,409,CONFLICT_409,0.0138
5,31,0,409,CONFLICT_409,0.012
5,31,3,409,CONFLICT_409,0.0128
5,32,4,200,SUCCESS_ACCEPTED,0.1311
5,32,1,409,CONFLICT_409,0.0198
5,32,0,409,CONFLICT_409,0.0396
5,32,3,409,CONFLICT_409,0.0233
5,32,2,409,CONFLICT_409,0.0145
5,33,4,200,SUCCESS_ACCEPTED,0.112
5,33,2,409,CONFLICT_409,0.0292
5,33,0,409,CONFLICT_409,0.0134
5,33,3,409,CONFLICT_409,0.0127
5,33,1,409,CONFLICT_409,0.0117
5,34,4,200,SUCCESS_ACCEPTED,0.1471
5,34,0,409,CONFLICT_409,0.0346
5,34,2,409,CONFLICT_409,0.0169
5,34,1,409,CONFLICT_409,0.0134
5,34,3,409,CONFLICT_409,0.0122
5,35,4,200,SUCCESS_ACCEPTED,0.1146
5,35,0,409,CONFLICT_409,0.0199
5,35,2,409,CONFLICT_409,0.0118
5,35,3,409,CONFLICT_409,0.0114
5,35,1,409,CONFLICT_409,0.0124
5,36,4,200,SUCCESS_ACCEPTED,0.1104
5,36,0,409,CONFLICT_409,0.0304
5,36,2,409,CONFLICT_409,0.0285
5,36,3,409,CONFLICT_409,0.0153
5,36,1,409,CONFLICT_409,0.0133
5,37,4,200,SUCCESS_ACCEPTED,0.1068
5,37,0,409,CONFLICT_409,0.0201
5,37,1,409,CONFLICT_409,0.0134
5,37,2,409,CONFLICT_409,0.0123
5,37,3,409,CONFLICT_409,0.0115
5,38,4,200,SUCCESS_ACCEPTED,0.0934
5,38,0,409,CONFLICT_409,0.0162
5,38,2,409,CONFLICT_409,0.0286
5,38,3,409,CONFLICT_409,0.0134
5,38,1,409,CONFLICT_409,0.0177
5,39,4,200,SUCCESS_ACCEPTED,0.0974
5,39,1,409,CONFLICT_409,0.0201
5,39,3,409,CONFLICT_409,0.0129
5,39,2,409,CONFLICT_409,0.0114
5,39,0,409,CONFLICT_409,0.0108
5,40,4,200,SUCCESS_ACCEPTED,0.0889
5,40,0,409,CONFLICT_409,0.0161
5,40,2,409,CONFLICT_409,0.0293
5,40,3,409,CONFLICT_409,0.0164
5,40,1,409,CONFLICT_409,0.011
5,41,4,200,SUCCESS_ACCEPTED,0.0908
5,41,1,409,CONFLICT_409,0.0175
5,41,0,409,CONFLICT_409,0.0129
5,41,3,409,CONFLICT_409,0.0275
5,41,2,409,CONFLICT_409,0.0137
5,42,4,200,SUCCESS_ACCEPTED,0.1027
5,42,1,409,CONFLICT_409,0.0226
5,42,0,409,CONFLICT_409,0.0128
5,42,3,409,CONFLICT_409,0.0261
5,42,2,409,CONFLICT_409,0.0156
5,43,4,200,SUCCESS_ACCEPTED,0.2036
5,43,0,409,CONFLICT_409,0.0446
5,43,1,409,CONFLICT_409,0.0209
5,43,2,409,CONFLICT_409,0.0402
5,43,3,409,CONFLICT_409,0.0185
5,44,4,200,SUCCESS_ACCEPTED,0.2383
5,44,0,409,CONFLICT_409,0.0387
5,44,2,409,CONFLICT_409,0.091
5,44,3,409,CONFLICT_409,0.0621
5,44,1,409,CONFLICT_409,0.0287
5,45,4,200,SUCCESS_ACCEPTED,0.1598
5,45,0,409,CONFLICT_409,0.0403
5,45,3,409,CONFLICT_409,0.0728
5,45,1,409,CONFLICT_409,0.0391
5,45,2,409,CONFLICT_409,0.0225
5,46,4,200,SUCCESS_ACCEPTED,0.213
5,46,2,409,CONFLICT_409,0.0344
